[WF] ALGO=gwo WINDOW=Y3 RUN=22 at Thu Jun  4 02:29:34 AM +03 2026
[2026-06-04 02:29:38] [WF] [INFO] Tek kosu: gwo/Y3/run_022, seed=42022
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] [WALK-FORWARD] Veri penceresi: [16104:24864] (8760 saat)
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] OPTIMIZER: GWO
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] DB: walk_forward_runs/gwo_Y3/run_022/gwo_running.db
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] Seed: 42022
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] Mode: joint
[2026-06-04 02:30:49] [RUN_OPTIMIZER] [INFO] Pop: 40, MaxIter: 50
[2026-06-04 02:30:49] [OPT.GWO] [INFO] Yeni GWO çalışması başlatıldı | Seed: 42022 | Pop: 40 | MaxIter: 50
[2026-06-04 02:30:49] [OPT.GWO] [INFO] ============================================================
[2026-06-04 02:30:49] [OPT.GWO] [INFO] GWO OPTIMIZASYONU
[2026-06-04 02:30:49] [OPT.GWO] [INFO] ============================================================
[2026-06-04 02:30:49] [OPT.GWO] [INFO] Pop: 40 | MaxIter: 50 | Workers: 35 | Seed: 42022 | Mode: joint
[2026-06-04 02:30:49] [OPT.GWO] [INFO] Algo params: {'a_start': 2.0, 'a_end': 0.0}
[2026-06-04 02:30:49] [OPT.GWO] [INFO] 
[INIT] Popülasyon değerlendiriliyor...
[2026-06-04 02:31:00] [INFO]  i:T-0 | ind 0 (I) | wavelet=coif5 | level=7 | mode=symmetric | look_back=46 | hidden=187 | layers=4 | dropout=0.390 | lr=0.00380 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 19 (I) | wavelet=db4 | level=6 | mode=periodization | look_back=38 | hidden=162 | layers=1 | dropout=0.255 | lr=0.00320 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 20 (I) | wavelet=sym7 | level=6 | mode=symmetric | look_back=80 | hidden=198 | layers=1 | dropout=0.314 | lr=0.00359 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 21 (I) | wavelet=db7 | level=7 | mode=zero | look_back=39 | hidden=133 | layers=2 | dropout=0.081 | lr=0.00050 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 22 (I) | wavelet=db6 | level=7 | mode=zero | look_back=39 | hidden=234 | layers=3 | dropout=0.408 | lr=0.00065 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 23 (I) | wavelet=coif3 | level=4 | mode=symmetric | look_back=94 | hidden=243 | layers=1 | dropout=0.411 | lr=0.00129 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 24 (I) | wavelet=sym7 | level=5 | mode=symmetric | look_back=94 | hidden=53 | layers=3 | dropout=0.131 | lr=0.00115 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 25 (I) | wavelet=sym7 | level=4 | mode=zero | look_back=85 | hidden=197 | layers=2 | dropout=0.290 | lr=0.00079 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 26 (I) | wavelet=db8 | level=5 | mode=symmetric | look_back=62 | hidden=221 | layers=1 | dropout=0.175 | lr=0.00549 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 27 (I) | wavelet=sym8 | level=7 | mode=periodization | look_back=39 | hidden=54 | layers=2 | dropout=0.475 | lr=0.00790 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 28 (I) | wavelet=db4 | level=3 | mode=periodization | look_back=68 | hidden=127 | layers=3 | dropout=0.236 | lr=0.00309 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 29 (I) | wavelet=sym8 | level=7 | mode=periodization | look_back=88 | hidden=221 | layers=4 | dropout=0.174 | lr=0.00146 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 30 (I) | wavelet=db8 | level=7 | mode=symmetric | look_back=60 | hidden=55 | layers=4 | dropout=0.053 | lr=0.00042 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 31 (I) | wavelet=db5 | level=5 | mode=symmetric | look_back=60 | hidden=246 | layers=1 | dropout=0.140 | lr=0.00053 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 32 (I) | wavelet=db8 | level=4 | mode=periodization | look_back=75 | hidden=184 | layers=4 | dropout=0.310 | lr=0.00033 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 33 (I) | wavelet=sym8 | level=7 | mode=symmetric | look_back=92 | hidden=95 | layers=2 | dropout=0.206 | lr=0.00991 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:31:01] [INFO]  i:T-0 | ind 34 (I) | wavelet=db4 | level=5 | mode=zero | look_back=42 | hidden=74 | layers=4 | dropout=0.026 | lr=0.00018 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:32:09] [INFO]  i:T-0 | ind 35 (I) | wavelet=coif4 | level=3 | mode=periodization | look_back=41 | hidden=33 | layers=1 | dropout=0.493 | lr=0.00040 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:32:42] [INFO]  i:T-0 | ind 36 (I) | wavelet=db4 | level=3 | mode=zero | look_back=58 | hidden=236 | layers=4 | dropout=0.412 | lr=0.00169 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 02:32:42] [INFO]  i:T-0 | ind 37 (I) | wavelet=db7 | level=4 | mode=zero | look_back=28 | hidden=239 | layers=4 | dropout=0.395 | lr=0.00972 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 02:32:45] [INFO]  i:T-0 | ind 38 (I) | wavelet=coif5 | level=5 | mode=periodization | look_back=52 | hidden=205 | layers=4 | dropout=0.184 | lr=0.00292 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 02:32:50] [INFO]  i:T-0 | ind 39 (I) | wavelet=sym5 | level=4 | mode=zero | look_back=24 | hidden=202 | layers=1 | dropout=0.249 | lr=0.00639 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:32] [OPT.GWO] [INFO]   >>> YENİ GLOBAL BEST: 0.076284
[2026-06-04 03:15:32] [OPT.GWO] [INFO]   >>> YENİ GLOBAL BEST: 0.074419
[2026-06-04 03:15:32] [OPT.GWO] [INFO]   >>> YENİ GLOBAL BEST: 0.067012
[2026-06-04 03:15:32] [OPT.GWO] [INFO] [INIT] Best: 0.067012
[2026-06-04 03:15:32] [OPT.GWO] [INFO] 
============================================================
[2026-06-04 03:15:32] [OPT.GWO] [INFO] GWO ITERATION 1/50
[2026-06-04 03:15:37] [INFO]  i:T-0 | ind 0 (W) | wavelet=sym7 | level=3 | mode=symmetric | look_back=35 | hidden=234 | layers=2 | dropout=0.002 | lr=0.00068 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:37] [INFO]  i:T-0 | ind 1 (W) | wavelet=coif3 | level=3 | mode=symmetric | look_back=29 | hidden=62 | layers=1 | dropout=0.212 | lr=0.00017 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:37] [INFO]  i:T-0 | ind 2 (W) | wavelet=sym5 | level=5 | mode=symmetric | look_back=24 | hidden=71 | layers=3 | dropout=0.129 | lr=0.00147 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:37] [INFO]  i:T-0 | ind 3 (W) | wavelet=db6 | level=4 | mode=symmetric | look_back=52 | hidden=202 | layers=2 | dropout=0.167 | lr=0.00023 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:37] [INFO]  i:T-0 | ind 4 (W) | wavelet=sym8 | level=6 | mode=symmetric | look_back=67 | hidden=174 | layers=4 | dropout=0.090 | lr=0.00850 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:37] [INFO]  i:T-0 | ind 5 (W) | wavelet=sym6 | level=6 | mode=zero | look_back=24 | hidden=181 | layers=1 | dropout=0.000 | lr=0.00018 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 6 (W) | wavelet=db7 | level=4 | mode=symmetric | look_back=24 | hidden=205 | layers=1 | dropout=0.133 | lr=0.00074 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 7 (W) | wavelet=sym7 | level=4 | mode=periodization | look_back=44 | hidden=146 | layers=4 | dropout=0.271 | lr=0.00808 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 8 (W) | wavelet=coif4 | level=4 | mode=symmetric | look_back=62 | hidden=116 | layers=3 | dropout=0.265 | lr=0.01000 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 9 (W) | wavelet=coif3 | level=4 | mode=symmetric | look_back=24 | hidden=253 | layers=4 | dropout=0.088 | lr=0.00453 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 10 (W) | wavelet=db8 | level=6 | mode=periodization | look_back=62 | hidden=51 | layers=1 | dropout=0.000 | lr=0.00151 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 11 (W) | wavelet=sym5 | level=4 | mode=symmetric | look_back=24 | hidden=232 | layers=2 | dropout=0.123 | lr=0.00046 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 12 (W) | wavelet=coif4 | level=5 | mode=symmetric | look_back=48 | hidden=256 | layers=2 | dropout=0.344 | lr=0.00087 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 13 (W) | wavelet=db8 | level=4 | mode=zero | look_back=37 | hidden=145 | layers=4 | dropout=0.182 | lr=0.00030 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 14 (W) | wavelet=sym7 | level=6 | mode=zero | look_back=96 | hidden=110 | layers=1 | dropout=0.078 | lr=0.00108 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 15 (W) | wavelet=coif5 | level=5 | mode=symmetric | look_back=24 | hidden=191 | layers=3 | dropout=0.298 | lr=0.00067 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 16 (W) | wavelet=sym5 | level=6 | mode=symmetric | look_back=58 | hidden=256 | layers=2 | dropout=0.000 | lr=0.00568 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 17 (W) | wavelet=coif3 | level=5 | mode=symmetric | look_back=49 | hidden=169 | layers=1 | dropout=0.344 | lr=0.00085 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 18 (W) | wavelet=db7 | level=4 | mode=symmetric | look_back=43 | hidden=171 | layers=2 | dropout=0.279 | lr=0.00093 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 19 (W) | wavelet=coif5 | level=5 | mode=symmetric | look_back=26 | hidden=201 | layers=4 | dropout=0.199 | lr=0.00621 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 20 (W) | wavelet=coif5 | level=6 | mode=zero | look_back=89 | hidden=156 | layers=3 | dropout=0.043 | lr=0.00626 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 21 (W) | wavelet=db4 | level=7 | mode=symmetric | look_back=46 | hidden=220 | layers=3 | dropout=0.310 | lr=0.00991 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 22 (W) | wavelet=db7 | level=7 | mode=zero | look_back=56 | hidden=227 | layers=2 | dropout=0.340 | lr=0.00021 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 23 (W) | wavelet=db4 | level=6 | mode=zero | look_back=70 | hidden=207 | layers=1 | dropout=0.107 | lr=0.00209 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 24 (W) | wavelet=sym8 | level=5 | mode=symmetric | look_back=56 | hidden=119 | layers=4 | dropout=0.191 | lr=0.00269 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 25 (W) | wavelet=sym7 | level=5 | mode=symmetric | look_back=24 | hidden=195 | layers=4 | dropout=0.268 | lr=0.00116 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 26 (W) | wavelet=coif3 | level=7 | mode=symmetric | look_back=24 | hidden=159 | layers=2 | dropout=0.160 | lr=0.00822 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 27 (W) | wavelet=sym8 | level=3 | mode=symmetric | look_back=39 | hidden=256 | layers=1 | dropout=0.000 | lr=0.00161 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 28 (W) | wavelet=db8 | level=7 | mode=symmetric | look_back=63 | hidden=256 | layers=3 | dropout=0.137 | lr=0.00109 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 29 (W) | wavelet=coif3 | level=5 | mode=zero | look_back=24 | hidden=32 | layers=1 | dropout=0.211 | lr=0.00048 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 30 (W) | wavelet=sym8 | level=5 | mode=symmetric | look_back=40 | hidden=241 | layers=1 | dropout=0.167 | lr=0.00086 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 31 (W) | wavelet=coif4 | level=3 | mode=symmetric | look_back=33 | hidden=157 | layers=4 | dropout=0.262 | lr=0.00072 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 32 (W) | wavelet=coif3 | level=5 | mode=symmetric | look_back=24 | hidden=256 | layers=3 | dropout=0.361 | lr=0.00114 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 33 (W) | wavelet=db8 | level=3 | mode=symmetric | look_back=24 | hidden=256 | layers=4 | dropout=0.151 | lr=0.00017 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:38] [INFO]  i:T-0 | ind 34 (W) | wavelet=coif5 | level=3 | mode=symmetric | look_back=43 | hidden=152 | layers=2 | dropout=0.319 | lr=0.00466 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:15:55] [INFO]  i:T-0 | ind 35 (W) | wavelet=coif5 | level=4 | mode=symmetric | look_back=43 | hidden=67 | layers=2 | dropout=0.240 | lr=0.00294 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:16:14] [INFO]  i:T-0 | ind 36 (W) | wavelet=sym5 | level=5 | mode=zero | look_back=36 | hidden=153 | layers=3 | dropout=0.229 | lr=0.00358 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:16:39] [INFO]  i:T-0 | ind 37 (W) | wavelet=db7 | level=3 | mode=symmetric | look_back=46 | hidden=108 | layers=2 | dropout=0.304 | lr=0.00806 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:16:48] [INFO]  i:T-0 | ind 38 (W) | wavelet=coif5 | level=5 | mode=symmetric | look_back=25 | hidden=250 | layers=4 | dropout=0.208 | lr=0.00165 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:17:33] [INFO]  i:T-0 | ind 39 (W) | wavelet=db5 | level=4 | mode=symmetric | look_back=37 | hidden=256 | layers=1 | dropout=0.177 | lr=0.00103 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:05] [OPT.GWO] [INFO] 
[ITER 1] α=0.068487 β=0.071167 δ=0.075501 | a=2.000 | Duration: 1593.4s
[2026-06-04 03:42:05] [OPT.GWO] [INFO] 
============================================================
[2026-06-04 03:42:05] [OPT.GWO] [INFO] GWO ITERATION 2/50
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 0 (W) | wavelet=db8 | level=4 | mode=symmetric | look_back=58 | hidden=256 | layers=2 | dropout=0.000 | lr=0.00066 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 1 (W) | wavelet=coif5 | level=5 | mode=symmetric | look_back=24 | hidden=194 | layers=4 | dropout=0.004 | lr=0.00102 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 2 (W) | wavelet=coif5 | level=4 | mode=symmetric | look_back=24 | hidden=106 | layers=3 | dropout=0.000 | lr=0.00432 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 3 (W) | wavelet=db4 | level=5 | mode=symmetric | look_back=59 | hidden=147 | layers=2 | dropout=0.000 | lr=0.00183 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 4 (W) | wavelet=coif5 | level=6 | mode=zero | look_back=33 | hidden=97 | layers=1 | dropout=0.109 | lr=0.00508 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 5 (W) | wavelet=coif5 | level=6 | mode=symmetric | look_back=96 | hidden=188 | layers=4 | dropout=0.090 | lr=0.01000 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 6 (W) | wavelet=db8 | level=7 | mode=symmetric | look_back=52 | hidden=55 | layers=2 | dropout=0.025 | lr=0.00053 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 7 (W) | wavelet=coif5 | level=7 | mode=zero | look_back=68 | hidden=256 | layers=3 | dropout=0.000 | lr=0.00072 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 8 (W) | wavelet=sym8 | level=5 | mode=symmetric | look_back=63 | hidden=65 | layers=3 | dropout=0.195 | lr=0.00027 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 9 (W) | wavelet=coif5 | level=6 | mode=symmetric | look_back=24 | hidden=134 | layers=3 | dropout=0.064 | lr=0.00173 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 10 (W) | wavelet=coif5 | level=6 | mode=zero | look_back=41 | hidden=256 | layers=1 | dropout=0.232 | lr=0.00034 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 11 (W) | wavelet=coif5 | level=4 | mode=symmetric | look_back=24 | hidden=228 | layers=3 | dropout=0.226 | lr=0.01000 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 12 (W) | wavelet=coif4 | level=5 | mode=zero | look_back=38 | hidden=256 | layers=4 | dropout=0.156 | lr=0.00192 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 13 (W) | wavelet=coif5 | level=6 | mode=symmetric | look_back=67 | hidden=215 | layers=1 | dropout=0.123 | lr=0.00076 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 14 (W) | wavelet=coif5 | level=4 | mode=symmetric | look_back=78 | hidden=68 | layers=1 | dropout=0.051 | lr=0.01000 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 15 (W) | wavelet=coif5 | level=6 | mode=zero | look_back=87 | hidden=114 | layers=1 | dropout=0.092 | lr=0.00051 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 16 (W) | wavelet=coif4 | level=6 | mode=symmetric | look_back=24 | hidden=256 | layers=2 | dropout=0.090 | lr=0.00671 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 17 (W) | wavelet=sym8 | level=5 | mode=zero | look_back=96 | hidden=256 | layers=3 | dropout=0.272 | lr=0.00232 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 03:42:19] [INFO]  i:T-1 | ind 18 (W) | wavelet=sym6 | level=3 | mode=symmetric | look_back=51 | hidden=224 | layers=1 | dropout=0.500 | lr=0.00099 | batch=32 | ablation[dwt=True, bi=True]
